"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2002","User login with wrong email or password","LMS system","2026-07-25","passed","2026-07-25","Authorization","Authentication","",""
"","2263","Check displaying of dashboard page","LMS system","2026-07-25","passed","2026-07-25","Dashboard","Dashboard","",""
"","3875","User login with correct email and password ","LMS system","2026-07-25","passed","2026-07-25","Authorization","Authentication","",""
"","1971","Check displaying of empty courses list","LMS system","2026-07-25","passed","2026-07-25","Courses","Courses","",""
"","2161","User login with wrong email or password","LMS system","2026-07-25","passed","2026-07-25","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-07-25","passed","2026-07-25","","test_markers","",""
"","2871","Create course","LMS system","2026-07-25","passed","2026-07-25","Courses","Courses","",""
"","1932","User login with wrong email or password","LMS system","2026-07-25","passed","2026-07-25","Authorization","Authentication","",""
"","3219","Edit course","LMS system","2026-07-25","passed","2026-07-25","Courses","Courses","",""
"","2086","Registration with correct email, username and password","LMS system","2026-07-25","passed","2026-07-25","Registration","Authentication","",""
"","1784","Navigation from login page to registration page","LMS system","2026-07-25","passed","2026-07-25","Authorization","Authentication","",""
